age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_life_balance,productivity_ratio,cognitive_load,caffeine_per_sleep,exp_tier,age_group
41.0,0.0,10.25,7.49,1.0,14.0,17.0,0.0,14.9,0.79,43.95,Medium,0.3292246389970323,1.1333333333333333,38.25,0.1335113306393417,Junior,41-44
31.0,9.0,12.27,4.25,2.0,3.0,26.0,3.0,16.01,0.95,56.11,Medium,0.1838755239082205,3.7142857142857144,22.77,0.4705881245675001,Senior,31-35
44.0,18.0,10.79,5.46,7.0,11.0,15.0,6.0,14.64,0.4,89.65,High,0.23043648327029165,0.8333333333333334,41.79,1.282051047243398,Principal,41-44
36.0,0.0,4.65,4.25,4.0,0.0,4.0,8.0,9.43,0.17,38.84,Medium,0.3139204322499693,0.4444444444444444,16.65,0.9411762491350002,Junior,36-40
29.0,1.0,7.07,8.15,2.0,16.0,6.0,9.0,11.94,0.04,35.43,Medium,0.4308258584520853,0.23076923076923078,52.57,0.24539874289585978,Junior,26-30
35.0,15.0,6.88,8.53,7.0,14.0,14.0,2.0,11.19,1.53,30.34,Low,0.5567238208785931,0.8235294117647058,37.88,0.8206329635834745,Principal,31-35
34.0,11.0,13.15,4.56,2.0,19.0,1.0,3.0,17.22,0.97,90.03,High,0.1820875804383411,0.043478260869565216,55.65,0.43859639504465026,Senior,31-35
34.0,7.0,12.68,6.2,4.0,19.0,10.0,4.0,14.13,1.69,81.65,High,0.29429316321174326,0.4166666666666667,56.68,0.6451611862643247,Mid,31-35
38.0,17.0,7.7,8.66,2.0,9.0,12.0,4.0,12.02,0.72,53.795,Low,0.47565920508827564,0.8571428571428571,31.7,0.23094685554886196,Principal,36-40
31.0,1.0,4.71,4.73,1.0,10.0,19.0,1.0,6.72,1.41,17.83,Low,0.5371828051458614,1.5833333333333333,26.21,0.2114164457893349,Junior,31-35
32.0,12.0,12.94,5.46,4.0,17.0,23.0,4.0,16.2,0.98,89.57,High,0.22100205144124735,1.0454545454545454,52.94,0.7326005984247989,Senior,31-35
39.0,5.0,12.88,5.52,5.0,1.0,27.0,9.0,15.5,1.22,83.11,High,0.23749118261130428,2.4545454545454546,28.380000000000003,0.9057969373556274,Mid,36-40
44.0,5.0,12.55,4.15,6.0,5.0,15.0,0.0,14.93,0.74,76.09,High,0.17794759177774414,2.5,22.55,1.4457827841487265,Mid,41-44
22.0,8.0,12.45,4.18,4.0,15.0,29.0,6.0,14.69,0.16,99.13,High,0.15991156374681045,1.3181818181818181,51.45,0.9569375701106292,Senior,20-25
24.0,15.0,8.8,8.76,1.0,6.0,13.0,4.0,13.22,1.89,31.36,Low,0.4836512041938599,1.1818181818181819,26.8,0.11415523811013265,Principal,20-25
32.0,10.0,5.77,6.86,1.0,18.0,6.0,5.0,9.85,1.67,50.25,Medium,0.5460947153588531,0.25,49.269999999999996,0.1457725735025403,Senior,31-35
26.0,6.0,8.77,5.53,1.0,11.0,6.0,8.0,11.86,0.62,80.33,High,0.2981095347499014,0.3,42.769999999999996,0.18083179370130312,Mid,26-30
40.0,9.0,8.95,5.89,7.0,17.0,11.0,2.0,12.61,1.92,72.3,High,0.36224488115747305,0.55,45.95,1.1884548067139546,Senior,36-40
28.0,9.0,8.9,7.57,5.0,9.0,11.0,0.0,12.02,0.6,59.88,Medium,0.39053535418091034,1.1,26.9,0.6605018942533825,Senior,26-30
26.0,19.0,9.39,5.83,5.0,6.0,19.0,7.0,11.98,0.89,69.16,Medium,0.31445950798036926,1.3571428571428572,31.89,0.8576327859978068,Principal,26-30
37.0,10.0,6.58,5.14,6.0,3.0,0.0,1.0,9.78,1.51,9.61,Low,0.4064791927579955,0.0,14.08,1.1673149479932008,Senior,36-40
23.0,19.0,7.66,4.51,6.0,16.0,22.0,1.0,10.79,0.62,77.59,Medium,0.2780487654174111,1.2222222222222223,41.16,1.3303766451493027,Principal,20-25
44.0,8.0,8.34,7.64,2.0,16.0,5.0,9.0,13.08,0.65,80.09,High,0.38702145718854064,0.19230769230769232,53.84,0.26178007044763474,Senior,41-44
33.0,14.0,5.31,4.9,2.0,3.0,7.0,3.0,7.72,0.82,30.84,Low,0.43898691949448054,1.0,15.809999999999999,0.40816318200751384,Senior,31-35
37.0,3.0,8.55,4.35,3.0,4.0,26.0,4.0,13.5,0.94,33.53,Low,0.2399092861719144,2.888888888888889,22.55,0.6896550138724107,Mid,36-40
28.0,7.0,12.1,6.13,6.0,0.0,12.0,0.0,14.32,0.25,57.67,Medium,0.24148371531098728,12.0,12.1,0.9787926625134319,Mid,26-30
40.0,8.0,12.28,4.2,6.0,18.0,14.0,2.0,13.72,0.03,100.0,High,0.1626923014349115,0.6666666666666666,51.28,1.428571088435455,Senior,36-40
21.0,12.0,8.12,8.82,2.0,10.0,23.0,7.0,9.89,1.02,27.13,Medium,0.5463631012569072,1.2777777777777777,38.62,0.22675734390506305,Senior,20-25
39.0,8.0,9.19,7.14,1.0,0.0,9.0,5.0,11.89,0.71,37.93,Medium,0.37239087417500594,1.5,16.689999999999998,0.14005600279327693,Senior,36-40
34.0,10.0,4.34,4.76,3.0,7.0,26.0,2.0,7.94,0.2,30.59,Low,0.4039087618966806,2.6,21.34,0.6302519684344604,Senior,31-35
26.0,16.0,10.74,4.86,6.0,3.0,13.0,6.0,13.81,1.52,62.75,Medium,0.25987778982167864,1.3,25.740000000000002,1.234567647208303,Principal,26-30
31.0,15.0,8.05,6.85,1.0,9.0,23.0,5.0,10.56,0.59,54.06,Medium,0.3997850403124642,1.5333333333333334,33.55,0.14598538014811968,Principal,31-35
27.0,14.0,8.45,5.78,0.0,16.0,8.0,4.0,11.7,1.02,42.29,Medium,0.33746896588243347,0.38095238095238093,46.45,0.0,Senior,26-30
34.0,2.0,12.74,7.87,7.0,17.0,16.0,7.0,17.1,1.93,90.88,High,0.32841821955703016,0.64,57.24,0.889453508328652,Junior,31-35
22.0,19.0,8.62,6.73,6.0,2.0,2.0,7.0,12.98,1.84,51.74,Medium,0.39675924089077585,0.2,23.119999999999997,0.8915303281529973,Principal,20-25
33.0,4.0,4.21,6.17,5.0,17.0,11.0,2.0,8.11,0.21,37.08,Medium,0.5178571008232873,0.55,41.21,0.8103726401340939,Mid,31-35
36.0,4.0,6.27,8.81,4.0,6.0,11.0,7.0,11.08,1.8,27.54,Low,0.6115273422750811,0.7857142857142857,28.77,0.45402946038258113,Mid,36-40
32.0,19.0,8.76,5.95,0.0,16.0,10.0,9.0,12.12,1.78,65.02,Medium,0.3702107102389507,0.38461538461538464,54.26,0.0,Principal,31-35
37.0,14.0,8.24,6.0,5.0,17.0,21.0,8.0,9.27,1.27,74.56,High,0.4151912955344777,0.8076923076923077,54.24,0.8333331944444675,Senior,36-40
27.0,17.0,12.6,7.33,5.0,19.0,28.0,9.0,14.76,1.06,85.01,High,0.3066520355755835,0.9655172413793104,64.1,0.682128147049366,Principal,26-30
23.0,14.0,9.42,8.05,7.0,7.0,3.0,2.0,11.73,0.43,53.35,Medium,0.4009456075203023,0.3,26.42,0.8695651093707939,Senior,20-25
21.0,1.0,10.9,7.13,1.0,10.0,7.0,7.0,14.09,0.24,67.97,Medium,0.2949179553854359,0.3888888888888889,41.4,0.1402524347472041,Junior,20-25
25.0,12.0,8.69,7.49,2.0,2.0,9.0,7.0,13.31,1.21,28.27,Low,0.3954545274793396,0.9,23.189999999999998,0.2670226612786834,Senior,20-25
41.0,3.0,8.4,5.86,4.0,6.0,13.0,6.0,12.75,1.64,60.33,Medium,0.35460991231158806,1.0,29.4,0.6825937401717166,Mid,41-44
29.0,9.0,8.46,6.4,2.0,14.0,29.0,7.0,10.39,1.38,71.37,High,0.41273207359511543,1.3181818181818181,46.96,0.3124999511718826,Senior,26-30
23.0,12.0,8.11,4.99,2.0,9.0,0.0,0.0,11.19,0.36,40.12,Medium,0.2772020581760592,0.0,26.11,0.40080152288546633,Senior,20-25
41.0,9.0,9.39,7.4,6.0,11.0,11.0,2.0,13.03,0.58,66.95,Medium,0.3559321875141754,0.7857142857142857,34.39,0.8108107012417971,Senior,41-44
37.0,8.0,6.5,5.11,4.0,11.0,4.0,5.0,11.45,1.09,67.44,Medium,0.3454038804788925,0.23529411764705882,36.0,0.7827787117849878,Senior,36-40
31.0,7.0,12.91,4.01,4.0,18.0,13.0,6.0,14.04,1.25,94.85,High,0.19517624507694822,0.52,57.91,0.9975059856593552,Mid,31-35
21.0,2.0,7.33,8.67,0.0,18.0,3.0,6.0,10.19,0.14,44.12,Medium,0.5028538525768349,0.12,52.33,0.0,Junior,20-25
29.0,15.0,5.48,5.53,1.0,14.0,27.0,5.0,10.43,1.23,21.81,Low,0.424889979579511,1.35,40.980000000000004,0.18083179370130312,Principal,26-30
23.0,13.0,4.97,4.98,2.0,4.0,16.0,3.0,9.88,1.47,11.49,Low,0.4343434050947202,2.0,17.47,0.4016063450589668,Senior,20-25
33.0,8.0,4.13,5.34,7.0,12.0,25.0,4.0,6.45,0.36,43.62,Medium,0.5387523120271918,1.4705882352941178,34.13,1.3108611777413526,Senior,31-35
35.0,10.0,8.23,5.65,1.0,8.0,21.0,8.0,9.23,0.49,41.79,Medium,0.35166091914885916,1.2352941176470589,36.230000000000004,0.17699111911661608,Senior,31-35
34.0,2.0,5.88,6.37,1.0,9.0,25.0,0.0,9.23,0.52,12.94,Low,0.4559893808081152,2.5,23.88,0.15698584662702564,Junior,31-35
27.0,4.0,4.22,4.35,7.0,7.0,12.0,1.0,8.69,1.88,32.7,Low,0.4825716125041353,1.3333333333333333,19.72,1.6091950323689581,Mid,26-30
33.0,9.0,9.2,4.26,6.0,8.0,2.0,4.0,11.5,0.81,67.55,Medium,0.24492752439963653,0.15384615384615385,31.2,1.4084503736031988,Senior,31-35
32.0,12.0,10.8,5.46,3.0,5.0,10.0,4.0,15.54,1.06,47.26,Medium,0.24753226091373343,1.0,26.8,0.5494504488185991,Senior,31-35
44.0,3.0,4.86,5.48,0.0,17.0,10.0,6.0,7.19,1.45,59.52,Medium,0.5751036867133871,0.4166666666666667,47.86,0.0,Mid,41-44
27.0,12.0,8.61,4.59,2.0,9.0,4.0,7.0,12.05,0.74,50.52,Medium,0.2579864347538028,0.23529411764705882,37.11,0.43572975256432406,Senior,26-30
40.0,11.0,11.44,6.02,5.0,14.0,5.0,9.0,15.33,0.21,100.0,High,0.23272318891583155,0.20833333333333334,52.94,0.830564646085607,Senior,36-40
35.0,4.0,13.86,5.42,4.0,12.0,3.0,5.0,16.24,1.31,85.75,High,0.22358803243893582,0.16666666666666666,45.36,0.7380072439101026,Mid,31-35
32.0,9.0,10.67,4.13,4.0,10.0,9.0,5.0,13.08,1.33,74.13,High,0.22989472716232726,0.5625,38.17,0.9685227679121627,Senior,31-35
37.0,8.0,6.45,8.43,1.0,1.0,9.0,4.0,9.33,0.52,14.94,Low,0.5671736015732824,1.5,14.45,0.11862394796868946,Senior,36-40
34.0,19.0,11.17,8.43,7.0,7.0,11.0,4.0,15.51,0.07,73.75,High,0.31859069270649576,0.9166666666666666,31.17,0.8303676357808262,Principal,31-35
40.0,6.0,9.98,5.05,0.0,17.0,21.0,7.0,11.38,1.33,85.14,High,0.2986891245932058,0.84,54.480000000000004,0.0,Mid,36-40
43.0,1.0,6.12,4.81,0.0,2.0,22.0,4.0,9.65,1.41,31.25,Low,0.39441975938999624,3.142857142857143,16.12,0.0,Junior,41-44
44.0,6.0,12.51,6.74,2.0,2.0,17.0,5.0,16.22,0.05,48.16,Medium,0.23633831408498734,2.125,24.009999999999998,0.29673586101841826,Mid,41-44
32.0,7.0,8.27,7.15,2.0,6.0,29.0,2.0,11.5,1.39,24.92,Low,0.43196760586911453,3.2222222222222223,23.27,0.2797202405985677,Mid,31-35
28.0,6.0,13.62,8.79,1.0,17.0,14.0,4.0,18.36,1.88,62.08,Medium,0.3336460183350213,0.6363636363636364,53.62,0.1137656298332617,Mid,26-30
34.0,13.0,11.23,5.89,1.0,8.0,22.0,8.0,14.64,0.36,59.72,Medium,0.24159256893727987,1.2941176470588236,39.230000000000004,0.16977925810199354,Senior,31-35
32.0,18.0,10.45,7.09,1.0,17.0,22.0,2.0,13.99,1.04,53.795,Medium,0.33265137755108926,1.1,47.45,0.14104370366097269,Principal,31-35
20.0,4.0,11.28,8.39,3.0,0.0,17.0,7.0,14.68,1.39,23.31,Low,0.37673342154339673,2.125,21.78,0.357568491350597,Mid,20-25
44.0,17.0,8.78,6.25,0.0,3.0,2.0,6.0,12.67,0.46,34.76,Low,0.3128204982368066,0.2,23.78,0.0,Principal,41-44
26.0,19.0,9.05,4.61,1.0,3.0,2.0,3.0,10.59,1.5,30.82,Low,0.3110997804939012,0.2857142857142857,19.55,0.21691969264214908,Principal,26-30
28.0,11.0,12.51,5.89,6.0,16.0,0.0,4.0,12.02,1.74,84.17,High,0.31104768401762395,0.0,50.51,1.0186755486119612,Senior,26-30
43.0,16.0,10.81,4.68,0.0,1.0,16.0,7.0,11.98,1.63,38.74,Medium,0.2768758105802628,1.7777777777777777,23.310000000000002,0.0,Principal,41-44
20.0,12.0,12.97,4.08,5.0,14.0,9.0,9.0,16.53,0.52,100.0,High,0.15593219810399328,0.375,54.47,1.2254898957132607,Senior,20-25
31.0,1.0,12.91,7.76,4.0,12.0,26.0,6.0,16.37,1.61,94.11,High,0.3200136502727578,1.368421052631579,45.91,0.5154638511000192,Junior,31-35
27.0,12.0,13.76,5.19,4.0,8.0,5.0,9.0,15.59,0.83,92.27,High,0.2051107255498901,0.2777777777777778,43.26,0.7707127609416645,Senior,26-30
43.0,6.0,11.0,4.01,0.0,6.0,24.0,9.0,12.16,0.53,66.48,Medium,0.19602762538740823,1.5,36.5,0.0,Mid,41-44
30.0,9.0,9.02,8.36,5.0,11.0,24.0,1.0,10.58,0.34,47.32,Medium,0.4438775283735954,1.8461538461538463,32.519999999999996,0.5980860528605201,Senior,26-30
38.0,5.0,5.66,6.22,4.0,11.0,10.0,7.0,7.75,1.82,46.08,Medium,0.5995525279975743,0.5263157894736842,38.16,0.6430867133301104,Mid,36-40
36.0,2.0,11.05,5.19,4.0,13.0,13.0,7.0,15.58,0.85,100.0,High,0.22681185779902896,0.6190476190476191,47.55,0.7707127609416645,Junior,36-40
27.0,2.0,6.92,5.31,4.0,14.0,16.0,8.0,11.34,1.73,61.98,Medium,0.38554214756067096,0.6956521739130435,46.92,0.7532955266863415,Junior,26-30
22.0,17.0,6.83,5.2,2.0,0.0,27.0,1.0,8.09,0.32,23.62,Low,0.3699731655513965,13.5,8.33,0.38461531065090176,Principal,20-25
22.0,10.0,6.38,4.97,5.0,8.0,6.0,3.0,8.54,1.53,27.37,Low,0.43565680726160816,0.5,26.88,1.0060360148820895,Senior,20-25
20.0,19.0,12.75,8.21,7.0,15.0,21.0,1.0,17.31,0.22,69.62,Medium,0.2804391124271753,1.2352941176470589,44.25,0.8526186537614308,Principal,20-25
24.0,4.0,12.68,4.85,2.0,8.0,3.0,3.0,12.02,0.04,66.59,Medium,0.19797570048681373,0.25,33.18,0.41237104899566,Mid,20-25
29.0,18.0,10.31,6.81,0.0,15.0,10.0,2.0,15.29,1.99,35.54,Medium,0.3437499865722661,0.5555555555555556,43.31,0.0,Principal,26-30
26.0,18.0,8.73,4.39,0.0,1.0,18.0,6.0,10.76,0.15,45.81,Medium,0.23293995726321406,2.25,19.73,0.0,Principal,26-30
28.0,14.0,10.72,8.75,3.0,9.0,8.0,5.0,14.68,0.92,52.52,Medium,0.38070864642879343,0.5333333333333333,36.22,0.3428571036734739,Senior,26-30
26.0,15.0,10.07,7.02,7.0,17.0,25.0,6.0,12.74,1.76,80.74,High,0.38491887834638844,1.0416666666666667,53.07,0.9971508551067159,Principal,26-30
28.0,8.0,8.16,8.52,2.0,12.0,20.0,1.0,9.7,1.64,13.41,Low,0.568868949111481,1.4285714285714286,33.66,0.23474175648570936,Senior,26-30
27.0,3.0,7.8,5.99,0.0,1.0,7.0,3.0,9.82,0.94,11.68,Low,0.39330304237780683,1.4,14.3,0.0,Mid,26-30
31.0,14.0,7.83,8.05,7.0,12.0,19.0,5.0,11.53,1.22,49.9,Medium,0.4788222893170306,1.0555555555555556,39.33,0.8695651093707939,Senior,31-35
21.0,11.0,9.89,8.27,2.0,2.0,3.0,4.0,12.24,1.26,18.4,Low,0.4306371246887878,0.42857142857142855,19.89,0.24183793931826614,Senior,20-25
20.0,2.0,10.48,7.51,3.0,14.0,15.0,1.0,13.9,0.22,37.85,Medium,0.3170631535248911,0.9375,39.980000000000004,0.39946732363950416,Junior,20-25
35.0,13.0,8.52,4.46,0.0,2.0,5.0,6.0,10.34,0.57,53.49,Medium,0.2667020007050901,0.5555555555555556,21.52,0.0,Senior,31-35
42.0,16.0,13.69,4.08,0.0,9.0,5.0,1.0,16.48,0.6,85.23,High,0.1551209759654963,0.45454545454545453,33.19,0.0,Principal,41-44
42.0,18.0,4.84,4.84,0.0,5.0,18.0,8.0,7.89,0.76,46.48,Medium,0.4399056999288531,1.2857142857142858,26.84,0.0,Principal,41-44
43.0,5.0,7.47,4.59,0.0,13.0,1.0,6.0,10.12,0.55,63.16,Medium,0.29221146718524915,0.05,42.47,0.0,Mid,41-44
24.0,3.0,8.19,7.63,1.0,8.0,10.0,2.0,9.98,0.5,25.99,Low,0.44744081191850227,0.9090909090909091,27.189999999999998,0.13106158177436675,Mid,20-25
22.0,6.0,4.17,6.79,5.0,17.0,24.0,5.0,7.02,0.71,70.82,High,0.6702412269668252,1.0434782608695652,45.67,0.7363769165866102,Mid,20-25
31.0,18.0,7.65,6.63,5.0,9.0,17.0,4.0,11.42,0.76,54.65,Medium,0.38751964407343237,1.2142857142857142,31.65,0.7541476992235747,Principal,31-35
27.0,16.0,6.74,5.26,2.0,5.0,8.0,8.0,11.6,0.97,37.59,Medium,0.3396946379664864,0.5714285714285714,28.740000000000002,0.38022806459542496,Principal,26-30
41.0,15.0,9.06,4.77,2.0,14.0,27.0,2.0,13.22,0.35,77.57,High,0.2298025031506955,1.588235294117647,40.06,0.41928712383917743,Principal,41-44
22.0,14.0,7.36,5.03,7.0,13.0,15.0,1.0,9.01,1.58,53.43,Medium,0.40378739133858327,1.0,34.86,1.3916498227336336,Senior,20-25
20.0,7.0,11.26,6.0,7.0,14.0,10.0,1.0,13.35,1.72,81.9,High,0.31369360773288874,0.625,40.76,1.1666664722222546,Mid,20-25
22.0,18.0,9.1,7.7,2.0,19.0,13.0,3.0,10.42,0.5,79.14,High,0.4200819456925232,0.5652173913043478,51.6,0.25974022600776286,Principal,20-25
24.0,7.0,5.3,5.27,3.0,5.0,7.0,0.0,6.84,0.25,13.55,Low,0.4546951849509732,1.1666666666666667,15.3,0.5692598540303883,Mid,20-25
34.0,17.0,11.5,7.49,6.0,11.0,26.0,8.0,13.5,1.44,76.99,High,0.35719998571200057,1.3,45.5,0.8010679838360502,Principal,31-35
33.0,10.0,4.99,6.46,1.0,9.0,12.0,2.0,6.79,1.85,18.34,Low,0.7054328772977184,1.0,25.990000000000002,0.15479873764725424,Senior,31-35
22.0,19.0,8.99,8.43,6.0,18.0,9.0,4.0,14.24,0.07,88.81,High,0.36590614008152644,0.391304347826087,50.99,0.7117436878121368,Principal,20-25
20.0,18.0,13.31,5.16,2.0,7.0,22.0,5.0,15.23,0.03,56.48,Medium,0.18185002866678246,1.6923076923076923,34.81,0.3875968241091426,Principal,20-25
24.0,9.0,7.22,6.25,7.0,4.0,11.0,7.0,9.42,0.37,53.37,Medium,0.39783651455309404,0.9166666666666666,25.72,1.1199998208000286,Senior,20-25
42.0,16.0,13.26,4.48,7.0,9.0,20.0,2.0,14.76,1.37,76.6,High,0.2087794358037318,1.6666666666666667,34.26,1.5624996512277562,Principal,41-44
33.0,12.0,11.93,5.68,2.0,10.0,28.0,4.0,14.04,1.93,60.52,Medium,0.29303040843163614,1.8666666666666667,37.93,0.35211261406468064,Senior,31-35
26.0,12.0,13.22,6.53,0.0,19.0,2.0,6.0,16.97,1.5,72.74,High,0.26598210447227216,0.07692307692307693,60.22,0.0,Senior,26-30
28.0,6.0,10.66,7.66,7.0,13.0,1.0,1.0,12.61,1.02,57.58,Medium,0.3730124463681802,0.06666666666666667,38.16,0.9138380008044386,Mid,26-30
34.0,9.0,6.36,4.99,6.0,13.0,10.0,2.0,8.05,1.4,70.27,High,0.4434420233558624,0.625,35.36,1.2024045686563989,Senior,31-35
34.0,1.0,12.95,5.09,7.0,1.0,23.0,7.0,14.22,0.46,83.65,High,0.20426940727753376,2.5555555555555554,25.45,1.3752453093820611,Junior,31-35
29.0,3.0,5.84,7.16,0.0,16.0,17.0,9.0,8.84,1.38,49.5,Medium,0.581743829581483,0.6538461538461539,51.34,0.0,Mid,26-30
32.0,5.0,6.13,5.91,7.0,14.0,23.0,7.0,10.5,0.64,72.19,High,0.39386648262979657,1.0454545454545454,44.63,1.1844329637169266,Mid,31-35
38.0,17.0,6.71,6.41,6.0,2.0,20.0,2.0,7.95,0.44,41.8,Medium,0.4672578126017864,4.0,13.71,0.9360372954700007,Principal,36-40
26.0,5.0,7.04,8.18,4.0,2.0,24.0,9.0,10.21,0.47,35.94,Medium,0.5014492462927973,2.0,24.54,0.4889974952325801,Mid,26-30
36.0,16.0,9.14,6.5,0.0,2.0,3.0,6.0,12.74,1.34,51.86,Medium,0.35831808234378043,0.3333333333333333,22.14,0.0,Principal,36-40
39.0,13.0,11.13,7.26,2.0,2.0,7.0,1.0,14.5,1.53,19.28,Low,0.3429574583317417,1.75,16.630000000000003,0.2754820557187251,Senior,36-40
23.0,10.0,13.26,7.28,0.0,17.0,28.0,8.0,17.77,1.16,85.48,High,0.2719948349341013,1.0769230769230769,59.26,0.0,Senior,20-25
24.0,10.0,4.88,8.02,2.0,5.0,10.0,7.0,9.35,0.13,21.9,Low,0.5727336210306662,0.7692307692307693,25.38,0.2493765275091612,Senior,20-25
42.0,1.0,13.54,7.19,6.0,13.0,14.0,5.0,14.77,0.08,100.0,High,0.2567997083433519,0.7368421052631579,47.04,0.8344922344238894,Junior,41-44
26.0,2.0,13.21,4.32,3.0,2.0,22.0,8.0,15.65,0.43,69.56,Medium,0.1645876588846965,2.0,29.21,0.6944442836934528,Junior,26-30
32.0,10.0,4.54,5.71,3.0,0.0,27.0,6.0,8.22,0.57,31.65,Low,0.492162970833623,3.857142857142857,13.54,0.525393953521199,Senior,31-35
34.0,5.0,7.6,8.95,4.0,9.0,23.0,3.0,12.41,0.81,31.31,Low,0.4877560975634134,1.7692307692307692,30.1,0.4469273243656622,Mid,31-35
30.0,13.0,12.13,4.98,7.0,12.0,20.0,4.0,16.35,0.15,91.36,High,0.18012639816971915,1.1764705882352942,42.13,1.4056222077063838,Senior,26-30
23.0,18.0,10.12,6.93,1.0,8.0,1.0,6.0,11.83,1.45,63.48,Medium,0.381776747982836,0.06666666666666667,35.12,0.14430012347761567,Principal,20-25
